sku,category,description,status,availability,foto_cargada
"FCXNE825VX","COCINA","Horno Eléctrico Empotrable CANDY Essenza FCXNE825VX · 80 L · 60 cm · WiFi · Cierre Suave · Acero Inoxidable","DISPONIBLE","","NO"
"MEC440TXNE","Cocina","Microondas Empotrable CANDY Essenza MEC440TXNE · 44 L · Convección · Doble Grill · Control Touch · Acero Inoxidable","ACTIVO","","NO"
"MH6032GAS","Cocina","Microondas LG MH6032GAS · 20 L · 700 W · Grill · EasyClean · Negro","ACTIVO","","NO"
"MH6535GIS","Cocina","Microondas LG MH6535GIS · 25 L · Smart Inverter · 1000 W · Grill · EasyClean · Negro","ACTIVO","","NO"
"MH7032JAS","Cocina","Microondas LG MH7032JAS · 30 L · 900 W · Grill · EasyClean · Luz LED blanca · Negro","ACTIVO","","NO"
"PCI27XCH64CCBA","Cocina","Combo Horno + Anafe CANDY PCI27XCH64CCBA · Horno Eléctrico FIDCX602 · 65 L · Silver + Anafe CH64CCB · 60 cm · 4 Zonas · Vitrocerámico","ACTIVO","","NO"
"CCHH3012EAR","Heladeras & Freezer","Freezer Horizontal Candy CCHH3012EAR · 300 L · Inverter · Modo Dual · Blanco","ACTIVO","","NO"
"CHSBSO6174XWD","Heladeras & Freezer","Heladera Side by Side CANDY CHSBSO6174 · 529 L · Inverter · No Frost · Dispenser de Agua · Silver","ACTIVO","","NO"
"CNCHQ4S520EWAR","Heladeras & Freezer","Freezer Horizontal Candy CNCHQ4S520EWAR · 502 L · Inverter · Modo Dual · Blanco","ACTIVO","","NO"
"GM57SXM","Heladeras & Freezer","Heladera French Door LG GM57SXM · 418 L · Smart Inverter · InstaView™ · Craft Ice™ · Dispenser de Agua y Hielo · ThinQ™ WiFi · Negro Mate","ACTIVO","","NO"
"GS66SPPT","Heladeras & Freezer","Heladera Side by Side LG GS66SPPT · 638 L · Smart Inverter · Multi Air Flow™ · Dispenser de Agua y Hielo · Smart Diagnosis™ · Silver","ACTIVO","","NO"
"VB33BPM","Heladeras & Freezer","Heladera Combi LG VB33BPM · 335 L · Smart Inverter · Freezer Inferior · Door Cooling+™ · ThinQ™ WiFi · Negro Mate","ACTIVO","","NO"
"VT40APM","Heladeras & Freezer","Heladera LG VT40APM · 383 L · Smart Inverter · No Frost · Freezer Superior · Dispenser de Agua · Door Cooling+™ · ThinQ™ WiFi · Negro Mate","ACTIVO","","NO"
"WRA08MEDIM","Heladeras & Freezer","Heladera Compacta Whirlpool WRA08MEDIM · 76 L · Diseño Retro · Freezer Interior · Negro","ACTIVO","","NO"
"WRE25AB","Heladeras & Freezer","Heladera Panelable Whirlpool W Collection WRE25ABDIM · 244 L · Inverter · No Frost · Freezer Inferior","ACTIVO","","NO"
"WRM42MBDIM","Heladeras & Freezer","Heladera Whirlpool WRM42MBDIM · 386 L · Xpert Inverter · No Frost · Freezer Superior · Blanca","ACTIVO","","NO"
"WRM42MKDIM","Heladeras & Freezer","Heladera Whirlpool WRM42MKDIM · 386 L · Xpert Inverter · No Frost · Freezer Superior · Silver","ACTIVO","","NO"
"CDPH2D1047S-12","Lavado","Lavavajillas CANDY Brava CDPH2D1047S-12 · Carga Frontal · 10 Cubiertos · 45 cm · 8 Programas · Silver","ACTIVO","","NO"
"CTL7G1-12","Lavado","Lavarropas CANDY Easy Wash CTL7G1-12 · Carga Superior · Diseño Asiático · 7 kg · 750 RPM · Antracita","ACTIVO","","NO"
"TCA273D2-12","Lavado","Lavarropas CANDY ProWash 300 TCA273D2-12 · Carga Superior · 7 kg · WiFi · 1200 RPM · Blanco","ACTIVO","","NO"
"TCA474TMR5-12","Lavado","Lavarropas CANDY ProWash 500 TCA474TM5R-12 · Carga Superior · 7 kg · Inverter · WiFi · 1400 RPM · Antracita","ACTIVO","","NO"
"WD15EGNTSPG","Lavado","Lavasecarropas LG WD15EGNTSPG · Carga Frontal · Lavado 15 kg / Secado 8 kg · AI DD™ · Inverter Direct Drive™ · Steam™ · TurboWash™ 360° · ThinQ™ WiFi · Grafito Esencial","ACTIVO","","NO"
"WD90VVC4S6","Lavado","Lavasecarropas LG WD90VVC4S6 · Carga Frontal · Lavado 9 kg / Secado 5 kg · AI DD™ · Inverter Direct Drive™ · Steam™ · ThinQ™ WiFi · 1200 RPM · Silver","ACTIVO","","NO"
"WD90WVC4S6","Lavado","Lavasecarropas LG WD90WVC4S6 · Carga Frontal · Lavado 9 kg / Secado 5 kg · AI DD™ · Inverter Direct Drive™ · Steam™ · ThinQ™ WiFi · 1200 RPM · Blanco","ACTIVO","","NO"
"WIO3P33PLAG-12","Lavado","Lavavajillas Empotrable Whirlpool WIO3P33PLAG · 15 Cubiertos · Xpert Inverter · PowerClean Pro · 6th Sense · ActiveDry · Panelable","ACTIVO","","NO"
"WM10BVC4S6","Lavado","Lavarropas LG WM10BVC4S6 · Carga Frontal · 10 kg · AI DD™ · Inverter Direct Drive™ · Steam™ · ThinQ™ WiFi · 1400 RPM · Acero Negro","ACTIVO","","NO"
"WM10VVC4S6","Lavado","Lavarropas LG WM10VVC4S6 · Carga Frontal · 10 kg · AI DD™ · Inverter Direct Drive™ · Steam™ · ThinQ™ WiFi · 1400 RPM · Silver","ACTIVO","","NO"
"5KSM150PS","Pequeños Electrodomésticos","Batidora KitchenAid Artisan RKSM150 · 4,8 L · 300 W","ACTIVO","","NO"
"AIR700AR","Pequeños Electrodomésticos","Air Fryer Cuisinart AIR700AR · 7 L · 1800 W · 8 Funciones · Pantalla Digital · Silver","ACTIVO","","NO"
"CPB800AR","Pequeños Electrodomésticos","Licuadora Cuisinart Smart Power CPB800AR · 1,5 L · 2 Velocidades · 1200 W · Vaso de Vidrio · Acero Inoxidable","ACTIVO","","NO"
"CPT180AR","Pequeños Electrodomésticos","Tostadora Cuisinart CPT180AR · 4 Ranuras · 6 Niveles de Tostado · 1800 W · Acero Inoxidable","ACTIVO","","NO"
"LKEK1701","Pequeños Electrodomésticos","Pava Eléctrica KitchenAid LKEK1701 · 1,7 L · Control de Temperatura · 1500 W","ACTIVO","","NO"
"LKFC3516","Pequeños Electrodomésticos","Mini Procesador KitchenAid LKFC3516 · 830 ml · 2 Velocidades","ACTIVO","","NO"
"LKMT2109","Pequeños Electrodomésticos","Tostadora KitchenAid LKMT2109 · 2 Ranuras Extra Anchas · 7 Niveles de Tostado · Funciones Especiales","ACTIVO","","NO"
"LKMT4109","Pequeños Electrodomésticos","Tostadora KitchenAid LKMT4109 · 4 Ranuras Extra Anchas · 7 Niveles de Tostado · Funciones Especiales","ACTIVO","","NO"
"LKSB2072","Pequeños Electrodomésticos","Licuadora KitchenAid Pure Power LKSB2072 · 2 L · 10 Velocidades · 1700 W","ACTIVO","","NO"
"RKCO128RBM","Pequeños Electrodomésticos","Horno de Mesa KitchenAid RKCO128RBM · 14 L · Air Fryer · Piedra para Pizza · Black Matte","ACTIVO","","NO"
"RKCO224RBM","Pequeños Electrodomésticos","Horno de Mesa KitchenAid RKCO224RBM · 22 L · Air Fryer · Doble Convección · Sonda de Temperatura · Black Matte","ACTIVO","","NO"
"RKSM175","Pequeños Electrodomésticos","Batidora KitchenAid Artisan con Accesorios RKSM175 · 4,8 L · 300 W","ACTIVO","","NO"
"RKSM60SPXRER","Pequeños Electrodomésticos","Batidora KitchenAid con Tazón Elevable RKSM60SPXRER · 5,6 L · 11 Velocidades · 375 W · Empire Red","ACTIVO","","NO"
"RKSM70","Pequeños Electrodomésticos","Batidora KitchenAid con Tazón Elevable KSM70 · 6,6 L · 11 Velocidades · 375 W","ACTIVO","","NO"
"TOA70AR","Pequeños Electrodomésticos","Horno Tostador Air Fryer Cuisinart TOA70AR · 17 L · 1800 W · 8 Funciones · Grill","ACTIVO","","NO"
"WAFV100AR","Pequeños Electrodomésticos","Wafflera Vertical Cuisinart WAFV100AR · 5 Niveles de Cocción · 800 W · Placas Antiadherentes","ACTIVO","","NO"
"82XQ00FDAR","Tecnología","Notebook Lenovo · AMD Ryzen 5 · 8 GB RAM · 512 GB SSD · 15,6” · Windows 11 Home","ACTIVO","","NO"
"82XQ00RYAR","Tecnología","Notebook Lenovo · AMD Ryzen 5 · 16 GB RAM · 1 TB SSD · 15” · Windows 11 · Azul","ACTIVO","","NO"
"90NB0X22-M01FD0","Tecnología","Notebook ASUS Vivobook 15 · AMD Ryzen 7 · 8 GB RAM · 512 GB SSD · 15,6” · Windows 11 Home","ACTIVO","","NO"
"90NB0ZT2-M00WF0","Tecnología","Notebook ASUS Vivobook 15 · Intel Core i3 · 8 GB RAM · 256 GB SSD · 15,6” · Windows 11","ACTIVO","","NO"
"90NB10N3-M01AV0","Tecnología","Notebook ASUS Vivobook · Intel Core i7-1355U · 16 GB RAM · 512 GB SSD · Windows 11","ACTIVO","","NO"
"AIRPODS-MAX","Tecnología","Apple AirPods Max","DISPONIBLE","","SI"
"APPLEWATCH-S11-42MM","Tecnología","Apple Watch Series 11 · GPS · 42 mm","ACTIVO","","NO"
"APPLEWATCH-S11-46MM","Tecnología","Apple Watch Series 11 · GPS · 46 mm","ACTIVO","","NO"
"APPLEWATCH-ULTRA3GPS49MM","Tecnología","Apple Watch Ultra 3 · GPS + Cellular · 49 mm","ACTIVO","","NO"
"B4HN6UA","Tecnología","Notebook HP · Intel N150 · 8 GB RAM · 128 GB · 14” · Windows 11","ACTIVO","","NO"
"IPAD-A16-128GB","Tecnología","iPad · 11” · A16 · 128 GB","ACTIVO","","NO"
"MACBOOK-AIR-M5-8CORE-1TB","Tecnología","MacBook Air · 13” · M5 · 16 GB · 1 TB SSD","ACTIVO","","NO"
"MACBOOK-AIR-M5-8CORE-512GB","Tecnología","MacBook Air · 13” · M5 · 16 GB · 512 GB SSD","ACTIVO","","NO"
"MACBOOK-NEO-8GB-256GB","Tecnología","MacBook Neo · 13” · A18 Pro · 8 GB · 256 GB SSD","ACTIVO","","NO"
"MACBOOK-NEO-8GB-512GB","Tecnología","MacBook Neo · 13” · A18 Pro · 8 GB · 512 GB SSD","ACTIVO","","NO"
"MACBOOK-PRO-14-M5-16GB-1TB","Tecnología","MacBook Pro · 14” · M5 · 16 GB · 1 TB SSD","DISPONIBLE","","NO"
"MACBOOK-PRO-14-M5-24GB-1TB","Tecnología","MacBook Pro · 14” · M5 · 24 GB · 1 TB SSD","DISPONIBLE","","NO"
"Pencil-Pro","Tecnología","Apple Pencil Pro · Blanco","DISPONIBLE","","SI"
"Pencil-UsbC","Tecnología","Apple Pencil (USB-C) · Blanco","DISPONIBLE","","SI"
"PS5-DIGITAL","Tecnología","Consola Sony PlayStation 5 Digital Edition Slim · 825 GB SSD · Sin Juegos · Blanco","DISPONIBLE","","NO"
"PS5SLIM","Tecnología","PS5 · Fisica · 1TB ·Slim","DISPONIBLE","","NO"
"100QNED85BS","TV & Audio","TV LG QNED evo AI QNED85 100QNED85BS · 100” · 4K UHD · Smart TV · Procesador α8 AI 4K · Mini LED · Dynamic QNED Color Pro · Precision Dimming Pro · HDR · webOS 26 · Negro","ACTIVO","","NO"
"86MRG85BSC","TV & Audio","TV LG Mini RGB evo AI MRGB85 86MRGB85BSC · 86” · 4K UHD · Smart TV · Procesador α8 AI 4K Gen3 · Precision Dimming · HDR · webOS 26 · Negro","ACTIVO","","NO"
"98UT9050","TV & Audio","TV LG UHD AI UT90 98UT9050PSA · 98” · 4K UHD · Smart TV · Procesador α8 AI 4K · HDR10 Pro · ThinQ AI · Magic Remote · webOS 24 · Negro","ACTIVO","","NO"
"OLED65G6PSA","TV & Audio","TV LG OLED evo AI G6 OLED65G6PSA · 65” · 4K UHD · Smart TV · Procesador α11 AI Gen3 · 165 Hz · Dolby Vision · Dolby Atmos · webOS 26 · Negro","ACTIVO","","NO"
"OLED77G6PSA","TV & Audio","TV LG OLED evo AI G6 OLED77G6PSA · 77” · 4K UHD · Smart TV · Procesador α11 AI Gen3 · 165 Hz · Dolby Vision · Dolby Atmos · webOS 26 · Negro","ACTIVO","","NO"
"OLED83C6PSA","TV & Audio","TV LG OLED evo AI C6 OLED83C6PSA · 83” · 4K UHD · Smart TV · Procesador α11 AI Gen3 · 165 Hz · Dolby Vision · Dolby Atmos · webOS 26 · Negro","ACTIVO","","NO"
"STAGE301","TV & Audio","Parlante Portátil LG XBOOM Stage 301 · 120 W · Bluetooth · Batería Incorporada · Negro","ACTIVO","","NO"
"UN65DU7000GCZB","TV & Audio","TV Samsung Crystal UHD DU7000 UN65DU7000GCZB · 65” · 4K UHD · Smart TV · Procesador Crystal 4K · PurColor · Motion Xcelerator · HDR · Tizen OS · Negro","ACTIVO","","NO"
"UN75DU7000GCZB","TV & Audio","TV Samsung Crystal UHD DU7000 UN75DU7000GCZB · 75” · 4K UHD · Smart TV · Procesador Crystal 4K · PurColor · Motion Xcelerator · HDR · Tizen OS · Negro","ACTIVO","","NO"
